Show,EpId,lectura,lectura_n,score,margen,rank_asignado,coincide_argmax,n_palabras_asr,duracion,fecha
LPJM,2020-05-28_07_40_55,Lectura 14,14,0.9364,0.7735,1,True,314,179.5,2020-05-28
LPJM,2020-05-28_07_45_55,Lectura 15,15,0.932,0.7898,1,True,284,138.1,2020-05-28
LPJM,2020-05-28_09_12_02,Lectura 16,16,0.9733,0.654,1,True,382,166.9,2020-05-28
LPJM,2020-05-28_09_15_07,Lectura 17,17,0.9649,0.7962,1,True,299,155.2,2020-05-28
LPJM,2020-05-28_09_18_07,Lectura 18,18,0.974,0.8303,1,True,296,150.9,2020-05-28
LPJM,2020-05-28_09_21_51,Lectura 19,19,0.9635,0.6218,1,True,305,171.2,2020-05-28
LPJM,2020-05-28_09_24_06,Lectura 20,20,0.9155,0.7836,1,True,205,105.5,2020-05-28
LPJM,2020-05-29_07_22_36,Lectura 21,21,0.949,0.698,1,True,272,138.6,2020-05-29
LPJM,2020-05-29_07_25_57,Lectura 22,22,0.9788,0.8189,1,True,310,163.6,2020-05-29
LPJM,2020-05-29_07_29_03,Lectura 23,23,0.9549,0.8077,1,True,270,151.4,2020-05-29
LPJM,2020-05-29_07_32_02,Lectura 24,24,0.9949,0.8939,1,True,273,146.3,2020-05-29
LPJM,2020-05-29_08_48_53,Lectura 25,25,0.9668,0.6235,1,True,360,182.5,2020-05-29
LPJM,2020-05-29_08_52_18,Lectura 26,26,0.9043,0.7515,1,True,344,167.6,2020-05-29
LPJM,2020-05-29_08_55_56,Lectura 27,27,0.959,0.815,1,True,341,176.4,2020-05-29
LPJM,2020-05-29_08_58_23,Lectura 28,28,0.9701,0.6834,1,True,239,123.2,2020-05-29
LPJM,2020-05-29_09_42_35,Lectura 29,29,0.76,0.5893,1,True,344,172.0,2020-05-29
LPJM,2020-05-29_09_45_05,Lectura 30,30,0.9109,0.764,1,True,260,123.7,2020-05-29
LPJM,2020-05-30_05_48_59,Lectura 31,31,0.9425,0.8043,1,True,288,152.2,2020-05-30
LPJM,2020-05-30_06_43_22,Lectura 32,32,0.9821,0.8607,1,True,302,139.1,2020-05-30
LPJM,2020-05-30_06_46_07,Lectura 33,33,0.9905,0.6493,1,True,260,129.7,2020-05-30
LPJM,2020-05-30_07_45_41,Lectura 34,34,0.9465,0.7447,1,True,296,157.2,2020-05-30
LPJM,2020-05-30_07_49_12,Lectura 35,35,0.9193,0.7177,1,True,372,186.9,2020-05-30
LPJM,2020-05-30_07_52_49,Lectura 36,36,0.9618,0.8327,1,True,370,170.8,2020-05-30
LPJM,2020-05-30_09_13_25,Lectura 37,37,0.9724,0.7533,1,True,353,179.9,2020-05-30
LPJM,2020-05-30_09_16_30,Lectura 38,38,0.9647,0.7764,1,True,350,157.0,2020-05-30
LPJM,2020-05-30_09_19_32,Lectura 39,39,0.9765,0.81,1,True,305,139.2,2020-05-30
LPJM,2020-05-30_09_23_13,Lectura 40,40,0.9394,0.2886,1,True,353,157.0,2020-05-30
LPJM,2020-06-01_06_41_55,Lectura 41,41,0.9798,0.8196,1,True,342,158.4,2020-06-01
LPJM,2020-06-01_06_45_13,Lectura 42,42,0.9271,0.7366,1,True,362,155.3,2020-06-01
LPJM,2020-06-01_07_41_58,Lectura 43,43,0.9785,0.8024,1,True,371,158.4,2020-06-01
LPJM,2020-06-01_07_45_24,Lectura 44,44,0.9015,0.6313,1,True,309,152.2,2020-06-01
LPJM,2020-06-01_07_47_41,Lectura 45,45,0.9529,0.7555,1,True,279,115.6,2020-06-01
LPJM,2020-06-01_07_51_21,Lectura 46,46,0.9838,0.7921,1,True,367,162.1,2020-06-01
LPJM,2020-06-01_07_54_22,Lectura 47,47,0.9578,0.4201,1,True,324,155.5,2020-06-01
LPJM,2020-06-01_09_27_03,Lectura 48,48,0.9812,0.6774,1,True,306,123.8,2020-06-01
LPJM,2020-06-01_09_30_28,Lectura 49,49,0.9654,0.8313,1,True,370,166.1,2020-06-01
LPJM,2020-06-01_09_32_48,Lectura 50,50,0.9471,0.2972,1,True,272,121.5,2020-06-01
LPJM,2020-06-02_08_51_36,Lectura 51,51,0.9309,0.7882,1,True,336,136.4,2020-06-02
LPJM,2020-06-02_08_56_53,Lectura 52,52,0.9742,0.7871,1,True,325,130.3,2020-06-02
LPJM,2020-06-02_09_00_00,Lectura 53,53,0.9379,0.7978,1,True,328,148.4,2020-06-02
LPJM,2020-06-02_09_03_20,Lectura 54,54,0.9476,0.6886,1,True,285,165.7,2020-06-02
LPJM,2020-06-02_09_06_41,Lectura 55,55,0.9866,0.8172,1,True,297,119.0,2020-06-02
LPJM,2020-06-02_09_10_13,Lectura 56,56,0.9617,0.4541,1,True,360,172.7,2020-06-02
LPJM,2020-06-02_09_13_29,Lectura 57,57,0.9827,0.7802,1,True,332,160.0,2020-06-02
LPJM,2020-06-02_09_16_20,Lectura 58,58,0.9505,0.756,1,True,293,140.2,2020-06-02
LPJM,2020-06-02_09_37_39,Lectura 59,59,0.9698,0.7684,1,True,334,142.1,2020-06-02
LPJM,2020-06-02_09_41_27,Lectura 60,60,0.907,0.7208,1,True,259,115.4,2020-06-02
LPJM,2020-06-03_09_28_57,Lectura 61,61,0.946,0.8185,1,True,365,165.0,2020-06-03
LPJM,2020-06-03_09_31_45,Lectura 62,62,0.972,0.8242,1,True,302,140.7,2020-06-03
LPJM,2020-06-03_09_35_06,Lectura 63,63,0.9689,0.692,1,True,368,169.3,2020-06-03
LPJM,2020-06-03_09_38_21,Lectura 64,64,0.9445,0.8232,1,True,341,169.5,2020-06-03
LPJM,2020-06-03_09_41_10,Lectura 65,65,0.9622,0.8365,1,True,314,140.2,2020-06-03
